time,open,high,low,close,tick_volume,spread,real_volume
2013-05-24 15:24:00,56345,56355,56345,56350,100,1,300
2013-05-24 15:25:00,56345,56345,56330,56345,99,1,297
2013-05-24 15:26:00,56350,56355,56335,56340,110,1,330
2013-05-24 15:27:00,56340,56350,56340,56350,48,1,144
2013-05-24 15:28:00,56350,56410,56345,56410,326,1,978
2013-05-24 15:29:00,56410,56440,56400,56400,909,1,2727
2013-05-24 15:30:00,56395,56465,56395,56430,1033,1,3099
2013-05-24 15:31:00,56445,56455,56410,56430,422,1,1266
2013-05-24 15:32:00,56420,56425,56360,56370,669,1,2007
2013-05-24 15:33:00,56370,56390,56330,56350,543,1,1629
2013-05-24 15:34:00,56350,56360,56335,56350,233,1,699
